"仓库代码","仓库纬度","仓库经度","收件人区","avg(`目的地网点纬度`)","avg(`目的地网点经度`)",distance
"311DCA",23.143,114.42,"南区街道",22.4854,113.354,131.511458579
"311DCA",23.143,114.42,"南城区",22.9835,113.754,70.4291784421
"311DCA",23.143,114.42,"南城街道",22.9863,113.744,71.3426115054
"311DCA",23.143,114.42,"南头镇",22.7106,113.289,125.448370163
"311DCA",23.143,114.42,"南山区",22.5426,113.945,82.6475887978
"311DCA",23.143,114.42,"南朗镇",22.5348,113.511,115.148055028
"311DCA",23.143,114.42,"南沙区",23.1586,113.364,108.013841139
"311DCA",23.143,114.42,"南海区",23.0874,113.101,135.074896668
"311DCA",23.143,114.42,"南湾区",22.2195,113.509,138.896907581
"311DCA",23.143,114.42,"博罗县",23.1926,114.103,32.8824966773
"311DCA",23.143,114.42,"厚街镇",22.9267,113.675,79.9640940993
"311DCA",23.143,114.42,"古镇镇",22.6317,113.193,137.997236767
"311DCA",23.143,114.42,"台山市",22.3586,112.796,188.045859908
"311DCA",23.143,114.42,"四会市",23.2778,112.803,165.979278303
"311DCA",23.143,114.42,"坦洲镇",22.2781,113.466,137.245441846
"311DCA",23.143,114.42,"坪山新区",22.6866,114.351,51.2551303889
"311DCA",23.143,114.42,"塘厦镇",22.8064,114.081,51.0581877039
"311DCA",23.143,114.42,"增城区",23.2611,113.811,63.6309763674
"311DCA",23.143,114.42,"增城市",23.2008,113.677,76.2482032649
"311DCA",23.143,114.42,"大亚湾区",22.7409,114.535,46.2507364429
"311DCA",23.143,114.42,"大岭山镇",22.902,113.843,64.8658180219
"311DCA",23.143,114.42,"大旺高新技术开发区",23.2955,112.817,164.734261484
"311DCA",23.143,114.42,"大朗镇",22.9219,113.91,57.7076907796
"311DCA",23.143,114.42,"大涌镇",22.4734,113.28,138.598254039
"311DCA",23.143,114.42,"大鹏新区",22.5969,114.475,61.0035839137
"311DCA",23.143,114.42,"天河区",23.1402,113.361,108.314602473
"311DCA",23.143,114.42,"宝安区",22.6625,113.94,72.6309355957
"311DCA",23.143,114.42,"寮步镇",23.0004,113.855,59.9543411193
"311DCA",23.143,114.42,"封开县",23.4192,111.505,299.409559444
"311DCA",23.143,114.42,"小榄镇",22.6338,113.25,132.596509908
"311DCA",23.143,114.42,"常平镇",22.971,113.999,47.143375507
"311DCA",23.143,114.42,"广宁县",23.6225,112.421,210.93935085
"311DCA",23.143,114.42,"开平市",22.3788,112.702,195.639754345
"311DCA",23.143,114.42,"德庆县",23.1382,111.865,261.324243286
"311DCA",23.143,114.42,"怀集县",23.9059,112.186,243.120478915
"311DCA",23.143,114.42,"恩平市",22.3099,112.701,199.218999029
"311DCA",23.143,114.42,"惠东县",22.886,114.764,45.3589605095
"311DCA",23.143,114.42,"惠城区",23.0275,114.432,12.9055901707
"311DCA",23.143,114.42,"惠阳区",22.8068,114.433,37.419159351
"311DCA",23.143,114.42,"斗门区",22.2061,113.398,147.856789607
"311DCA",23.143,114.42,"新会区",22.4936,113.016,161.050355807
"311DCA",23.143,114.42,"望牛墩镇",23.0641,113.661,78.1466957074
"311DCA",23.143,114.42,"板芙镇",22.549,113.334,129.449199269
"311DCA",23.143,114.42,"桥头镇",22.9725,114.056,41.8025381379
"311DCA",23.143,114.42,"樟木头镇",22.8984,114.067,45.2339484196
"311DCA",23.143,114.42,"横栏镇",22.5744,113.226,137.754012763
"311DCA",23.143,114.42,"横沥镇",23.0282,113.97,47.7828963279
"311DCA",23.143,114.42,"民众镇",22.567,113.325,129.232815344
"311DCA",23.143,114.42,"江海区",22.5789,113.119,147.36671987
"311DCA",23.143,114.42,"沙溪镇",22.5077,113.328,132.386967003
"311DCA",23.143,114.42,"沙田镇",22.8716,113.629,86.4274820028
"311DCA",23.143,114.42,"洪梅镇",22.9842,113.614,84.3553272264
"311DCA",23.143,114.42,"海珠区",23.0873,113.306,114.130254968
"311DCA",23.143,114.42,"清溪镇",22.8167,114.18,43.8324869946
"311DCA",23.143,114.42,"港口镇",22.5907,113.392,121.959216472
"311DCA",23.143,114.42,"火炬开发区",22.5601,113.474,116.643557332
"311DCA",23.143,114.42,"番禺区",22.9879,113.38,107.820258222
"311DCA",23.143,114.42,"白云区",23.2591,113.166,128.850354109
"311DCA",23.143,114.42,"盐田区",22.6661,114.093,62.7404062422
"311DCA",23.143,114.42,"石岐区",22.5366,113.388,125.461460001
"311DCA",23.143,114.42,"石排镇",23.0796,113.942,49.4066651458
"311DCA",23.143,114.42,"石碣镇",23.1046,113.807,62.8511398201
"311DCA",23.143,114.42,"石龙镇",23.098,113.861,57.4020549558
"311DCA",23.143,114.42,"神湾镇",22.325,113.36,141.785960344
"311DCA",23.143,114.42,"禅城区",23.0062,113.097,136.235727522
"311DCA",23.143,114.42,"福田区",22.5409,114.069,76.0244724136
"311DCA",23.143,114.42,"端州区",23.0803,112.485,198.077105325
"311DCA",23.143,114.42,"罗湖区",22.5565,114.116,72.2961259891
"311DCA",23.143,114.42,"花都区",23.4249,113.224,126.154762344
"311DCA",23.143,114.42,"茶山镇",22.935,113.905,57.5678940912
"311DCA",23.143,114.42,"荔湾区",23.0984,113.239,120.912838077
"311DCA",23.143,114.42,"莞城区",23.0385,113.749,69.6327175685
"311DCA",23.143,114.42,"莞城街道",23.0385,113.749,69.6327175685
"311DCA",23.143,114.42,"萝岗区",23.1738,113.509,93.2281034202
"311DCA",23.143,114.42,"蓬江区",22.612,113.068,150.615829387
"311DCA",23.143,114.42,"虎门镇",22.8176,113.708,81.3998984633
"311DCA",23.143,114.42,"西区街道",22.5201,113.359,128.960239964
"311DCA",23.143,114.42,"谢岗镇",22.9641,114.136,35.2254557337
"311DCA",23.143,114.42,"越秀区",23.0587,113.324,112.523878421
"311DCA",23.143,114.42,"道滘镇",23.0044,113.675,77.7800624656
"311DCA",23.143,114.42,"金唐区",22.3804,113.54,123.861360195
"311DCA",23.143,114.42,"金湾区",22.1313,113.383,154.907552309
"311DCA",23.143,114.42,"长安镇",22.7892,113.769,77.4187862894
"311DCA",23.143,114.42,"阜沙镇",22.6677,113.35,121.712213786
"311DCA",23.143,114.42,"顺德区",22.8716,113.177,130.791803983
"311DCA",23.143,114.42,"香洲区",22.271,113.539,132.586124288
"311DCA",23.143,114.42,"高埗镇",22.8583,113.672,82.8741429787
"311DCA",23.143,114.42,"高新区",22.3978,113.343,138.098445862
"311DCA",23.143,114.42,"高明区",22.8715,112.862,162.343832089
"311DCA",23.143,114.42,"高要市",23.0463,112.555,191.120288738
"311DCA",23.143,114.42,"鹤山市",22.7592,112.969,154.626947296
"311DCA",23.143,114.42,"麻涌镇",23.054,113.558,88.7472885025
"311DCA",23.143,114.42,"黄圃镇",22.7073,113.33,121.726775892
"311DCA",23.143,114.42,"黄埔区",23.1005,113.477,96.5797926271
"311DCA",23.143,114.42,"黄江镇",22.9155,114.021,48.0473039801
"311DCA",23.143,114.42,"鼎湖区",23.1852,112.574,188.834032306
"311DCA",23.143,114.42,"龙华新区",22.6685,114.018,66.94813318
"311DCA",23.143,114.42,"龙岗区",22.6699,114.186,57.8270800247
"311DCA",23.143,114.42,"龙门县",23.1604,114.364,6.04541693735
"755DCA",22.685,113.829,"万江区",23.0261,113.706,39.9802425267
"755DCA",22.685,113.829,"万江街道",23.0471,113.738,41.3420509515
"755DCA",22.685,113.829,"东凤镇",22.7017,113.258,58.6246993038
"755DCA",22.685,113.829,"东区街道",22.5137,113.399,48.0917363783
"755DCA",22.685,113.829,"东升镇",22.6104,113.305,54.4263332149
"755DCA",22.685,113.829,"东坑镇",22.9808,113.945,34.9848172643
"755DCA",22.685,113.829,"东城区",23.0216,113.772,37.8930657159
"755DCA",22.685,113.829,"东城街道",23.0281,113.783,38.4530963895
"755DCA",22.685,113.829,"东山区",23.1205,113.296,72.9994368275
"755DCA",22.685,113.829,"东莞市",23.0205,113.752,38.1430722436
"755DCA",22.685,113.829,"丬乡镇",22.3582,113.441,53.9498902579
"755DCA",22.685,113.829,"丬水区",23.1558,112.897,108.898561447
"755DCA",22.685,113.829,"丬角镇",22.5206,113.306,56.7327584794
"755DCA",22.685,113.829,"中堂镇",23.1007,113.667,49.1276985325
"755DCA",22.685,113.829,"中山市",22.5257,113.382,49.2012672159
"755DCA",22.685,113.829,"五桂山街道",22.4461,113.403,51.1929482986
"755DCA",22.685,113.829,"从化区",23.5468,113.587,99.0030113947
"755DCA",22.685,113.829,"从化市",23.5237,113.599,96.2103166128
"755DCA",22.685,113.829,"企石镇",23.0588,114.028,46.3102156933
"755DCA",22.685,113.829,"光明新区",22.7489,113.936,13.0782687294
"755DCA",22.685,113.829,"凤岗镇",22.7542,114.086,27.4684265171
"755DCA",22.685,113.829,"南区街道",22.4854,113.354,53.5967495825
"755DCA",22.685,113.829,"南城区",22.9835,113.754,34.0806707332
"755DCA",22.685,113.829,"南城街道",22.9863,113.744,34.6277761588
"755DCA",22.685,113.829,"南头镇",22.7106,113.289,55.4854018747
"755DCA",22.685,113.829,"南山区",22.5426,113.945,19.8177195863
"755DCA",22.685,113.829,"南朗镇",22.5348,113.511,36.6784058978
"755DCA",22.685,113.829,"南沙区",23.1586,113.364,71.0236204352
"755DCA",22.685,113.829,"南海区",23.0874,113.101,86.9977066703
"755DCA",22.685,113.829,"南湾区",22.2195,113.509,61.3433942424
"755DCA",22.685,113.829,"博罗县",23.1926,114.103,63.0516013234
"755DCA",22.685,113.829,"厚街镇",22.9267,113.675,31.1784425021
"755DCA",22.685,113.829,"古镇镇",22.6317,113.193,65.5507702628
"755DCA",22.685,113.829,"台山市",22.3586,112.796,112.17460258
"755DCA",22.685,113.829,"四会市",23.2778,112.803,124.040206267
"755DCA",22.685,113.829,"坦洲镇",22.2781,113.466,58.6539611194
"755DCA",22.685,113.829,"坪山新区",22.6866,114.351,53.5702011487
"755DCA",22.685,113.829,"塘厦镇",22.8064,114.081,29.1644084243
"755DCA",22.685,113.829,"增城区",23.2611,113.811,64.106014404
"755DCA",22.685,113.829,"增城市",23.2008,113.677,59.447395478
"755DCA",22.685,113.829,"大亚湾区",22.7409,114.535,72.7047494562
"755DCA",22.685,113.829,"大岭山镇",22.902,113.843,24.1795295603
"755DCA",22.685,113.829,"大旺高新技术开发区",23.2955,112.817,123.890592811
"755DCA",22.685,113.829,"大朗镇",22.9219,113.91,27.628259365
"755DCA",22.685,113.829,"大涌镇",22.4734,113.28,61.0995776264
"755DCA",22.685,113.829,"大鹏新区",22.5969,114.475,67.0370608422
"755DCA",22.685,113.829,"天河区",23.1402,113.361,69.7323935568
"755DCA",22.685,113.829,"宝安区",22.6625,113.94,11.663963949
"755DCA",22.685,113.829,"寮步镇",23.0004,113.855,35.1829797887
"755DCA",22.685,113.829,"封开县",23.4192,111.505,251.480926932
"755DCA",22.685,113.829,"小榄镇",22.6338,113.25,59.7031579403
"755DCA",22.685,113.829,"常平镇",22.971,113.999,36.272858531
"755DCA",22.685,113.829,"广宁县",23.6225,112.421,177.786831675
"755DCA",22.685,113.829,"开平市",22.3788,112.702,120.691903708
"755DCA",22.685,113.829,"德庆县",23.1382,111.865,207.436618116
"755DCA",22.685,113.829,"怀集县",23.9059,112.186,215.903306534
"755DCA",22.685,113.829,"恩平市",22.3099,112.701,123.19811088
"755DCA",22.685,113.829,"惠东县",22.886,114.764,98.4556500337
"755DCA",22.685,113.829,"惠城区",23.0275,114.432,72.6029731677
"755DCA",22.685,113.829,"惠阳区",22.8068,114.433,63.4217554357
"755DCA",22.685,113.829,"斗门区",22.2061,113.398,69.2869323063
"755DCA",22.685,113.829,"新会区",22.4936,113.016,86.1636088878
"755DCA",22.685,113.829,"望牛墩镇",23.0641,113.661,45.5466882854
"755DCA",22.685,113.829,"板芙镇",22.549,113.334,53.0279473496
"755DCA",22.685,113.829,"桥头镇",22.9725,114.056,39.5497680135
"755DCA",22.685,113.829,"樟木头镇",22.8984,114.067,34.0449048421
"755DCA",22.685,113.829,"横栏镇",22.5744,113.226,63.1182164747
"755DCA",22.685,113.829,"横沥镇",23.0282,113.97,40.8181086457
"755DCA",22.685,113.829,"民众镇",22.567,113.325,53.3838346969
"755DCA",22.685,113.829,"江海区",22.5789,113.119,73.8410027325
"755DCA",22.685,113.829,"沙溪镇",22.5077,113.328,55.0984835468
"755DCA",22.685,113.829,"沙田镇",22.8716,113.629,29.1803142691
"755DCA",22.685,113.829,"洪梅镇",22.9842,113.614,39.9164818819
"755DCA",22.685,113.829,"海珠区",23.0873,113.306,69.8185782383
"755DCA",22.685,113.829,"清溪镇",22.8167,114.18,38.8700650239
"755DCA",22.685,113.829,"港口镇",22.5907,113.392,46.0723700496
"755DCA",22.685,113.829,"火炬开发区",22.5601,113.474,39.0063137228
"755DCA",22.685,113.829,"番禺区",22.9879,113.38,57.0407246158
"755DCA",22.685,113.829,"白云区",23.2591,113.166,93.2076267783
"755DCA",22.685,113.829,"盐田区",22.6661,114.093,27.176293971
"755DCA",22.685,113.829,"石岐区",22.5366,113.388,48.1967690477
"755DCA",22.685,113.829,"石排镇",23.0796,113.942,45.393148613
"755DCA",22.685,113.829,"石碣镇",23.1046,113.807,46.7264472448
"755DCA",22.685,113.829,"石龙镇",23.098,113.861,46.0547996415
"755DCA",22.685,113.829,"神湾镇",22.325,113.36,62.658421232
"755DCA",22.685,113.829,"禅城区",23.0062,113.097,83.104539294
"755DCA",22.685,113.829,"福田区",22.5409,114.069,29.3968866225
"755DCA",22.685,113.829,"端州区",23.0803,112.485,144.575652518
"755DCA",22.685,113.829,"罗湖区",22.5565,114.116,32.750626025
"755DCA",22.685,113.829,"花都区",23.4249,113.224,102.99040709
"755DCA",22.685,113.829,"茶山镇",22.935,113.905,28.8786355355
"755DCA",22.685,113.829,"荔湾区",23.0984,113.239,75.9566151456
"755DCA",22.685,113.829,"莞城区",23.0385,113.749,40.1655552573
"755DCA",22.685,113.829,"莞城街道",23.0385,113.749,40.1655552573
"755DCA",22.685,113.829,"萝岗区",23.1738,113.509,63.4869801056
"755DCA",22.685,113.829,"蓬江区",22.612,113.068,78.5391656052
"755DCA",22.685,113.829,"虎门镇",22.8176,113.708,19.276492778
"755DCA",22.685,113.829,"西区街道",22.5201,113.359,51.6304790288
"755DCA",22.685,113.829,"谢岗镇",22.9641,114.136,44.2078712967
"755DCA",22.685,113.829,"越秀区",23.0587,113.324,66.3800642926
"755DCA",22.685,113.829,"道滘镇",23.0044,113.675,38.8760052918
"755DCA",22.685,113.829,"金唐区",22.3804,113.54,45.0497015706
"755DCA",22.685,113.829,"金湾区",22.1313,113.383,76.7882396708
"755DCA",22.685,113.829,"长安镇",22.7892,113.769,13.1231657962
"755DCA",22.685,113.829,"阜沙镇",22.6677,113.35,49.1980974431
"755DCA",22.685,113.829,"顺德区",22.8716,113.177,70.0130014556
"755DCA",22.685,113.829,"香洲区",22.271,113.539,54.8535840445
"755DCA",22.685,113.829,"高埗镇",22.8583,113.672,25.1165421746
"755DCA",22.685,113.829,"高新区",22.3978,113.343,59.2728901105
"755DCA",22.685,113.829,"高明区",22.8715,112.862,101.316892598
"755DCA",22.685,113.829,"高要市",23.0463,112.555,136.615109447
"755DCA",22.685,113.829,"鹤山市",22.7592,112.969,88.6186126397
"755DCA",22.685,113.829,"麻涌镇",23.054,113.558,49.5577798111
"755DCA",22.685,113.829,"黄圃镇",22.7073,113.33,51.2657209636
"755DCA",22.685,113.829,"黄埔区",23.1005,113.477,58.6249288622
"755DCA",22.685,113.829,"黄江镇",22.9155,114.021,32.3252842762
"755DCA",22.685,113.829,"鼎湖区",23.1852,112.574,140.08007508
"755DCA",22.685,113.829,"龙华新区",22.6685,114.018,19.4839197403
"755DCA",22.685,113.829,"龙岗区",22.6699,114.186,36.6776071208
"755DCA",22.685,113.829,"龙门县",23.1604,114.364,76.1584880215
"755DCD",22.739,113.999,"万江区",23.0261,113.706,43.8328610767
"755DCD",22.739,113.999,"万江街道",23.0471,113.738,43.4704625943
"755DCD",22.739,113.999,"东凤镇",22.7017,113.258,76.1385340456
"755DCD",22.739,113.999,"东区街道",22.5137,113.399,66.503507123
"755DCD",22.739,113.999,"东升镇",22.6104,113.305,72.6491259657
"755DCD",22.739,113.999,"东坑镇",22.9808,113.945,27.4589408783
"755DCD",22.739,113.999,"东城区",23.0216,113.772,39.1051449356
"755DCD",22.739,113.999,"东城街道",23.0281,113.783,39.0383030537
"755DCD",22.739,113.999,"东山区",23.1205,113.296,83.587731844
"755DCD",22.739,113.999,"东莞市",23.0205,113.752,40.2628495848
"755DCD",22.739,113.999,"丬乡镇",22.3582,113.441,71.2727004907
"755DCD",22.739,113.999,"丬水区",23.1558,112.897,122.024330769
"755DCD",22.739,113.999,"丬角镇",22.5206,113.306,75.1805212519
"755DCD",22.739,113.999,"中堂镇",23.1007,113.667,52.6826987115
"755DCD",22.739,113.999,"中山市",22.5257,113.382,67.641183646
"755DCD",22.739,113.999,"五桂山街道",22.4461,113.403,69.3362964212
"755DCD",22.739,113.999,"从化区",23.5468,113.587,99.2417506475
"755DCD",22.739,113.999,"从化市",23.5237,113.599,96.3958425394
"755DCD",22.739,113.999,"企石镇",23.0588,114.028,35.6951953219
"755DCD",22.739,113.999,"光明新区",22.7489,113.936,6.55573507524
"755DCD",22.739,113.999,"凤岗镇",22.7542,114.086,9.08309329585
"755DCD",22.739,113.999,"南区街道",22.4854,113.354,71.9850297705
"755DCD",22.739,113.999,"南城区",22.9835,113.754,37.015539088
"755DCD",22.739,113.999,"南城街道",22.9863,113.744,37.9433305168
"755DCD",22.739,113.999,"南头镇",22.7106,113.289,72.9109628703
"755DCD",22.739,113.999,"南山区",22.5426,113.945,22.5379306534
"755DCD",22.739,113.999,"南朗镇",22.5348,113.511,55.0067726168
"755DCD",22.739,113.999,"南沙区",23.1586,113.364,80.0533837671
"755DCD",22.739,113.999,"南海区",23.0874,113.101,99.8311358303
"755DCD",22.739,113.999,"南湾区",22.2195,113.509,76.6499924264
"755DCD",22.739,113.999,"博罗县",23.1926,114.103,51.5658243655
"755DCD",22.739,113.999,"厚街镇",22.9267,113.675,39.231195077
"755DCD",22.739,113.999,"古镇镇",22.6317,113.193,83.5720212706
"755DCD",22.739,113.999,"台山市",22.3586,112.796,130.622304932
"755DCD",22.739,113.999,"四会市",23.2778,112.803,136.326548239
"755DCD",22.739,113.999,"坦洲镇",22.2781,113.466,75.0188718301
"755DCD",22.739,113.999,"坪山新区",22.6866,114.351,36.5839253257
"755DCD",22.739,113.999,"塘厦镇",22.8064,114.081,11.2662781098
"755DCD",22.739,113.999,"增城区",23.2611,113.811,61.1800552107
"755DCD",22.739,113.999,"增城市",23.2008,113.677,61.0399605469
"755DCD",22.739,113.999,"大亚湾区",22.7409,114.535,54.9852948871
"755DCD",22.739,113.999,"大岭山镇",22.902,113.843,24.1766318711
"755DCD",22.739,113.999,"大旺高新技术开发区",23.2955,112.817,135.918703968
"755DCD",22.739,113.999,"大朗镇",22.9219,113.91,22.2962159414
"755DCD",22.739,113.999,"大涌镇",22.4734,113.28,79.5208761609
"755DCD",22.739,113.999,"大鹏新区",22.5969,114.475,51.3486598759
"755DCD",22.739,113.999,"天河区",23.1402,113.361,79.1349526564
"755DCD",22.739,113.999,"宝安区",22.6625,113.94,10.443062284
"755DCD",22.739,113.999,"寮步镇",23.0004,113.855,32.6064668189
"755DCD",22.739,113.999,"封开县",23.4192,111.505,266.178395455
"755DCD",22.739,113.999,"小榄镇",22.6338,113.25,77.7507990404
"755DCD",22.739,113.999,"常平镇",22.971,113.999,25.8053213093
"755DCD",22.739,113.999,"广宁县",23.6225,112.421,188.918557628
"755DCD",22.739,113.999,"开平市",22.3788,112.702,139.119976805
"755DCD",22.739,113.999,"德庆县",23.1382,111.865,223.056045621
"755DCD",22.739,113.999,"怀集县",23.9059,112.186,226.134277091
"755DCD",22.739,113.999,"恩平市",22.3099,112.701,141.645380699
"755DCD",22.739,113.999,"惠东县",22.886,114.764,80.1209243134
"755DCD",22.739,113.999,"惠城区",23.0275,114.432,54.7597468202
"755DCD",22.739,113.999,"惠阳区",22.8068,114.433,45.1449560541
"755DCD",22.739,113.999,"斗门区",22.2061,113.398,85.6112315935
"755DCD",22.739,113.999,"新会区",22.4936,113.016,104.556385635
"755DCD",22.739,113.999,"望牛墩镇",23.0641,113.661,50.0698369865
"755DCD",22.739,113.999,"板芙镇",22.549,113.334,71.4623435556
"755DCD",22.739,113.999,"桥头镇",22.9725,114.056,26.6211559179
"755DCD",22.739,113.999,"樟木头镇",22.8984,114.067,19.0514655425
"755DCD",22.739,113.999,"横栏镇",22.5744,113.226,81.430241673
"755DCD",22.739,113.999,"横沥镇",23.0282,113.97,32.3046495949
"755DCD",22.739,113.999,"民众镇",22.567,113.325,71.7817446967
"755DCD",22.739,113.999,"江海区",22.5789,113.119,92.065643525
"755DCD",22.739,113.999,"沙溪镇",22.5077,113.328,73.5393334681
"755DCD",22.739,113.999,"沙田镇",22.8716,113.629,40.7039684682
"755DCD",22.739,113.999,"洪梅镇",22.9842,113.614,47.9676634478
"755DCD",22.739,113.999,"海珠区",23.0873,113.306,80.8819183192
"755DCD",22.739,113.999,"清溪镇",22.8167,114.18,20.475856708
"755DCD",22.739,113.999,"港口镇",22.5907,113.392,64.4491540569
"755DCD",22.739,113.999,"火炬开发区",22.5601,113.474,57.4483834213
"755DCD",22.739,113.999,"番禺区",22.9879,113.38,69.2193546736
"755DCD",22.739,113.999,"白云区",23.2591,113.166,103.057720089
"755DCD",22.739,113.999,"盐田区",22.6661,114.093,12.6010394294
"755DCD",22.739,113.999,"石岐区",22.5366,113.388,66.6430840141
"755DCD",22.739,113.999,"石排镇",23.0796,113.942,38.3323591312
"755DCD",22.739,113.999,"石碣镇",23.1046,113.807,45.1729099465
"755DCD",22.739,113.999,"石龙镇",23.098,113.861,42.3604496458
"755DCD",22.739,113.999,"神湾镇",22.325,113.36,80.1901220998
"755DCD",22.739,113.999,"禅城区",23.0062,113.097,97.1005693037
"755DCD",22.739,113.999,"福田区",22.5409,114.069,23.1768201004
"755DCD",22.739,113.999,"端州区",23.0803,112.485,159.695225534
"755DCD",22.739,113.999,"罗湖区",22.5565,114.116,23.5863645619
"755DCD",22.739,113.999,"花都区",23.4249,113.224,110.042036485
"755DCD",22.739,113.999,"茶山镇",22.935,113.905,23.8356531767
"755DCD",22.739,113.999,"荔湾区",23.0984,113.239,87.5238779677
"755DCD",22.739,113.999,"莞城区",23.0385,113.749,42.0244589007
"755DCD",22.739,113.999,"莞城街道",23.0385,113.749,42.0244589007
"755DCD",22.739,113.999,"萝岗区",23.1738,113.509,69.6963346136
"755DCD",22.739,113.999,"蓬江区",22.612,113.068,96.5888679746
"755DCD",22.739,113.999,"虎门镇",22.8176,113.708,31.0977252397
"755DCD",22.739,113.999,"西区街道",22.5201,113.359,70.0726003509
"755DCD",22.739,113.999,"谢岗镇",22.9641,114.136,28.7068646522
"755DCD",22.739,113.999,"越秀区",23.0587,113.324,77.7692915134
"755DCD",22.739,113.999,"道滘镇",23.0044,113.675,44.4299957861
"755DCD",22.739,113.999,"金唐区",22.3804,113.54,61.7566048074
"755DCD",22.739,113.999,"金湾区",22.1313,113.383,92.6273771073
"755DCD",22.739,113.999,"长安镇",22.7892,113.769,24.2419263084
"755DCD",22.739,113.999,"阜沙镇",22.6677,113.35,67.0652064663
"755DCD",22.739,113.999,"顺德区",22.8716,113.177,85.5641512818
"755DCD",22.739,113.999,"香洲区",22.271,113.539,70.3146035966
"755DCD",22.739,113.999,"高埗镇",22.8583,113.672,36.0607485473
"755DCD",22.739,113.999,"高新区",22.3978,113.343,77.3320369638
"755DCD",22.739,113.999,"高明区",22.8715,112.862,117.509540606
"755DCD",22.739,113.999,"高要市",23.0463,112.555,151.860880656
"755DCD",22.739,113.999,"鹤山市",22.7592,112.969,105.677918448
"755DCD",22.739,113.999,"麻涌镇",23.054,113.558,57.1797011077
"755DCD",22.739,113.999,"黄圃镇",22.7073,113.33,68.7274442215
"755DCD",22.739,113.999,"黄埔区",23.1005,113.477,66.9081090766
"755DCD",22.739,113.999,"黄江镇",22.9155,114.021,19.7611948137
"755DCD",22.739,113.999,"鼎湖区",23.1852,112.574,154.150302811
"755DCD",22.739,113.999,"龙华新区",22.6685,114.018,8.0804257578
"755DCD",22.739,113.999,"龙岗区",22.6699,114.186,20.6702507389
"755DCD",22.739,113.999,"龙门县",23.1604,114.364,59.9555226223
"757DCB",22.807,113.189,"万江区",23.0261,113.706,58.3045489805
"757DCB",22.807,113.189,"万江街道",23.0471,113.738,62.2597710201
"757DCB",22.807,113.189,"东凤镇",22.7017,113.258,13.6848161089
"757DCB",22.807,113.189,"东区街道",22.5137,113.399,39.1015104517
"757DCB",22.807,113.189,"东升镇",22.6104,113.305,24.8971460599
"757DCB",22.807,113.189,"东坑镇",22.9808,113.945,79.8413212744
"757DCB",22.807,113.189,"东城区",23.0216,113.772,64.3227141576
"757DCB",22.807,113.189,"东城街道",23.0281,113.783,65.6366484716
"757DCB",22.807,113.189,"东山区",23.1205,113.296,36.5519056019
"757DCB",22.807,113.189,"东莞市",23.0205,113.752,62.3781487154
"757DCB",22.807,113.189,"丬乡镇",22.3582,113.441,56.2299792417
"757DCB",22.807,113.189,"丬水区",23.1558,112.897,48.9825236228
"757DCB",22.807,113.189,"丬角镇",22.5206,113.306,34.0445908447
"757DCB",22.807,113.189,"中堂镇",23.1007,113.667,58.8564871966
"757DCB",22.807,113.189,"中山市",22.5257,113.382,37.0325035419
"757DCB",22.807,113.189,"五桂山街道",22.4461,113.403,45.7621563499
"757DCB",22.807,113.189,"从化区",23.5468,113.587,91.801247031
"757DCB",22.807,113.189,"从化市",23.5237,113.599,90.0715828674
"757DCB",22.807,113.189,"企石镇",23.0588,114.028,90.3940214441
"757DCB",22.807,113.189,"光明新区",22.7489,113.936,76.8807889595
"757DCB",22.807,113.189,"凤岗镇",22.7542,114.086,92.1774228067
"757DCB",22.807,113.189,"南区街道",22.4854,113.354,39.5789459121
"757DCB",22.807,113.189,"南城区",22.9835,113.754,61.1318318657
"757DCB",22.807,113.189,"南城街道",22.9863,113.744,60.2641352
"757DCB",22.807,113.189,"南头镇",22.7106,113.289,14.8384129884
"757DCB",22.807,113.189,"南山区",22.5426,113.945,82.9766188592
"757DCB",22.807,113.189,"南朗镇",22.5348,113.511,44.8206610194
"757DCB",22.807,113.189,"南沙区",23.1586,113.364,43.0185602933
"757DCB",22.807,113.189,"南海区",23.0874,113.101,32.4652018823
"757DCB",22.807,113.189,"南湾区",22.2195,113.509,73.1535684434
"757DCB",22.807,113.189,"博罗县",23.1926,114.103,102.94250229
"757DCB",22.807,113.189,"厚街镇",22.9267,113.675,51.5580593717
"757DCB",22.807,113.189,"古镇镇",22.6317,113.193,19.5029082022
"757DCB",22.807,113.189,"台山市",22.3586,112.796,64.1608038357
"757DCB",22.807,113.189,"四会市",23.2778,112.803,65.5992744373
"757DCB",22.807,113.189,"坦洲镇",22.2781,113.466,65.3503869584
"757DCB",22.807,113.189,"坪山新区",22.6866,114.351,119.946029315
"757DCB",22.807,113.189,"塘厦镇",22.8064,114.081,91.4598956026
"757DCB",22.807,113.189,"增城区",23.2611,113.811,81.2706005085
"757DCB",22.807,113.189,"增城市",23.2008,113.677,66.4454411887
"757DCB",22.807,113.189,"大亚湾区",22.7409,114.535,138.238601969
"757DCB",22.807,113.189,"大岭山镇",22.902,113.843,67.8611316263
"757DCB",22.807,113.189,"大旺高新技术开发区",23.2955,112.817,66.347339203
"757DCB",22.807,113.189,"大朗镇",22.9219,113.91,74.9923381835
"757DCB",22.807,113.189,"大涌镇",22.4734,113.28,38.2641687418
"757DCB",22.807,113.189,"大鹏新区",22.5969,114.475,134.012225336
"757DCB",22.807,113.189,"天河区",23.1402,113.361,41.0345105479
