"仓库代码","仓库纬度","仓库经度","收件人区","avg(`目的地网点纬度`)","avg(`目的地网点经度`)",distance
"020DCE",23.136,113.535,"端州区",23.0803,112.485,107.598929601
"020DCE",23.136,113.535,"罗湖区",22.5565,114.116,87.7582467773
"020DCE",23.136,113.535,"花都区",23.4249,113.224,45.1920770777
"020DCE",23.136,113.535,"茶山镇",22.935,113.905,43.9799818003
"020DCE",23.136,113.535,"荔湾区",23.0984,113.239,30.5678017095
"020DCE",23.136,113.535,"莞城区",23.0385,113.749,24.4352164646
"020DCE",23.136,113.535,"莞城街道",23.0385,113.749,24.4352164646
"020DCE",23.136,113.535,"萝岗区",23.1738,113.509,4.97474284679
"020DCE",23.136,113.535,"蓬江区",22.612,113.068,75.4160665822
"020DCE",23.136,113.535,"虎门镇",22.8176,113.708,39.599521197
"020DCE",23.136,113.535,"西区街道",22.5201,113.359,70.842661035
"020DCE",23.136,113.535,"谢岗镇",22.9641,114.136,64.4152137287
"020DCE",23.136,113.535,"越秀区",23.0587,113.324,23.2373774011
"020DCE",23.136,113.535,"道滘镇",23.0044,113.675,20.4822737548
"020DCE",23.136,113.535,"金唐区",22.3804,113.54,84.0468266653
"020DCE",23.136,113.535,"金湾区",22.1313,113.383,112.836820282
"020DCE",23.136,113.535,"长安镇",22.7892,113.769,45.4128489
"020DCE",23.136,113.535,"阜沙镇",22.6677,113.35,55.4307022845
"020DCE",23.136,113.535,"顺德区",22.8716,113.177,46.9935174944
"020DCE",23.136,113.535,"香洲区",22.271,113.539,96.2146811849
"020DCE",23.136,113.535,"高埗镇",22.8583,113.672,33.9244488736
"020DCE",23.136,113.535,"高新区",22.3978,113.343,84.4381683483
"020DCE",23.136,113.535,"高明区",22.8715,112.862,74.922780974
"020DCE",23.136,113.535,"高要市",23.0463,112.555,100.766923298
"020DCE",23.136,113.535,"鹤山市",22.7592,112.969,71.5367782375
"020DCE",23.136,113.535,"麻涌镇",23.054,113.558,9.41953509992
"020DCE",23.136,113.535,"黄圃镇",22.7073,113.33,52.1042286225
"020DCE",23.136,113.535,"黄埔区",23.1005,113.477,7.1270996543
"020DCE",23.136,113.535,"黄江镇",22.9155,114.021,55.467793824
"020DCE",23.136,113.535,"鼎湖区",23.1852,112.574,98.4290949276
"020DCE",23.136,113.535,"龙华新区",22.6685,114.018,71.7852898997
"020DCE",23.136,113.535,"龙岗区",22.6699,114.186,84.4805095679
"020DCE",23.136,113.535,"龙门县",23.1604,114.364,84.8291570692
"020DCF",23.131,113.536,"万江区",23.0261,113.706,20.9464623789
"020DCF",23.131,113.536,"万江街道",23.0471,113.738,22.6777765358
"020DCF",23.131,113.536,"东凤镇",22.7017,113.258,55.599791545
"020DCF",23.131,113.536,"东区街道",22.5137,113.399,70.0840026001
"020DCF",23.131,113.536,"东升镇",22.6104,113.305,62.5587117558
"020DCF",23.131,113.536,"东坑镇",22.9808,113.945,45.0699640155
"020DCF",23.131,113.536,"东城区",23.0216,113.772,27.0422926399
"020DCF",23.131,113.536,"东城街道",23.0281,113.783,27.7455609585
"020DCF",23.131,113.536,"东山区",23.1205,113.296,24.5778343897
"020DCF",23.131,113.536,"东莞市",23.0205,113.752,25.2907355726
"020DCF",23.131,113.536,"丬乡镇",22.3582,113.441,86.5090427806
"020DCF",23.131,113.536,"丬水区",23.1558,112.897,65.4141011797
"020DCF",23.131,113.536,"丬角镇",22.5206,113.306,71.8725980907
"020DCF",23.131,113.536,"中堂镇",23.1007,113.667,13.8185310894
"020DCF",23.131,113.536,"中山市",22.5257,113.382,69.1536564907
"020DCF",23.131,113.536,"五桂山街道",22.4461,113.403,77.3925424066
"020DCF",23.131,113.536,"从化区",23.5468,113.587,46.5417307834
"020DCF",23.131,113.536,"从化市",23.5237,113.599,44.1513673924
"020DCF",23.131,113.536,"企石镇",23.0588,114.028,50.9757512172
"020DCF",23.131,113.536,"光明新区",22.7489,113.936,59.0349369241
"020DCF",23.131,113.536,"凤岗镇",22.7542,114.086,70.2168999169
"020DCF",23.131,113.536,"南区街道",22.4854,113.354,74.1949960652
"020DCF",23.131,113.536,"南城区",22.9835,113.754,27.6938806943
"020DCF",23.131,113.536,"南城街道",22.9863,113.744,26.687051731
"020DCF",23.131,113.536,"南头镇",22.7106,113.289,53.168684057
"020DCF",23.131,113.536,"南山区",22.5426,113.945,77.7254174157
"020DCF",23.131,113.536,"南朗镇",22.5348,113.511,66.3647298943
"020DCF",23.131,113.536,"南沙区",23.1586,113.364,17.8575781845
"020DCF",23.131,113.536,"南海区",23.0874,113.101,44.7659374199
"020DCF",23.131,113.536,"南湾区",22.2195,113.509,101.423854032
"020DCF",23.131,113.536,"博罗县",23.1926,114.103,58.3873298667
"020DCF",23.131,113.536,"厚街镇",22.9267,113.675,26.8113987473
"020DCF",23.131,113.536,"古镇镇",22.6317,113.193,65.725614279
"020DCF",23.131,113.536,"台山市",22.3586,112.796,114.644153693
"020DCF",23.131,113.536,"四会市",23.2778,112.803,76.6942411319
"020DCF",23.131,113.536,"坦洲镇",22.2781,113.466,95.1394409517
"020DCF",23.131,113.536,"坪山新区",22.6866,114.351,97.0356581441
"020DCF",23.131,113.536,"塘厦镇",22.8064,114.081,66.4739900662
"020DCF",23.131,113.536,"增城区",23.2611,113.811,31.6210712448
"020DCF",23.131,113.536,"增城市",23.2008,113.677,16.3762132518
"020DCF",23.131,113.536,"大亚湾区",22.7409,114.535,111.152321558
"020DCF",23.131,113.536,"大岭山镇",22.902,113.843,40.4548279535
"020DCF",23.131,113.536,"大旺高新技术开发区",23.2955,112.817,75.7430250202
"020DCF",23.131,113.536,"大朗镇",22.9219,113.91,44.7963691659
"020DCF",23.131,113.536,"大涌镇",22.4734,113.28,77.712136605
"020DCF",23.131,113.536,"大鹏新区",22.5969,114.475,113.097414797
"020DCF",23.131,113.536,"天河区",23.1402,113.361,17.9290060167
"020DCF",23.131,113.536,"宝安区",22.6625,113.94,66.5522461401
"020DCF",23.131,113.536,"寮步镇",23.0004,113.855,35.7318464566
"020DCF",23.131,113.536,"封开县",23.4192,111.505,209.982304764
"020DCF",23.131,113.536,"小榄镇",22.6338,113.25,62.5894744605
"020DCF",23.131,113.536,"常平镇",22.971,113.999,50.6191559518
"020DCF",23.131,113.536,"广宁县",23.6225,112.421,126.286777556
"020DCF",23.131,113.536,"开平市",22.3788,112.702,119.658007003
"020DCF",23.131,113.536,"德庆县",23.1382,111.865,170.919543316
"020DCF",23.131,113.536,"怀集县",23.9059,112.186,162.437976824
"020DCF",23.131,113.536,"恩平市",22.3099,112.701,125.221414451
"020DCF",23.131,113.536,"惠东县",22.886,114.764,128.643081467
"020DCF",23.131,113.536,"惠城区",23.0275,114.432,92.4051115679
"020DCF",23.131,113.536,"惠阳区",22.8068,114.433,98.6868419029
"020DCF",23.131,113.536,"斗门区",22.2061,113.398,103.846903739
"020DCF",23.131,113.536,"新会区",22.4936,113.016,88.7073015624
"020DCF",23.131,113.536,"望牛墩镇",23.0641,113.661,14.796476917
"020DCF",23.131,113.536,"板芙镇",22.549,113.334,67.9667711767
"020DCF",23.131,113.536,"桥头镇",22.9725,114.056,56.0651058524
"020DCF",23.131,113.536,"樟木头镇",22.8984,114.067,60.2043971456
"020DCF",23.131,113.536,"横栏镇",22.5744,113.226,69.588299431
"020DCF",23.131,113.536,"横沥镇",23.0282,113.97,45.8583624857
"020DCF",23.131,113.536,"民众镇",22.567,113.325,66.3571171765
